,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-78-005
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,MODELING TECHNIQUES FOR ESTIMATING FECAL COLIFORMS IN ESTUARIES
3,Author:,"KELCH, WILLIAM JAMES"
4,,"LEE, JONG SUN"
5,Publication Year :,1978
6,Source Citation:,"WATER POLLUTION CONTROL FEDERATION. JOURNAL, ( ):862-868, MAY, 1978"
7,# Pages / Video Length:,7
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-78-005
10,Grant/Contract #:,NOAA SEA GRANT
11,Abstract:,POLLUTION
