,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-76-007
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"LABORATORY AND FIELD STUDIES ON ""GLUGEA STEPHANI"" (HAGENMULLER), A MICROSPORIDAN PARASITE OF PLEURONECTID FLATFISHES"
3,Author:,"OLSON, ROBERT ELDON"
4,Publication Year :,1976
5,Source Citation:,"JOURNAL OF PROTOZOOLOGY, 23(01):158-164, FEB. 1976"
6,# Pages / Video Length:,7
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,ORESU-R-76-007
9,Grant/Contract #:,NOAA SEA GRANT
10,Abstract:,"INTESTINAL PARASITE OF ENGLISH SOLE (""PAROPHRYS RETULUS"");LABOR​A"
