,MetadataField,Metadata
0,NSGL Document #:,ORESU-X1-72-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,INTERACTION BETWEEN PARALYTIC SHELLFISH POISON AND CLAM MELANIN AND PROTEIN
3,Author:,"PRICE, ROBERT JAMES"
4,Publication Year :,1972
5,Publisher:,Oregon State University (OSU) Sea Grant
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X1-72-004
9,Grant/Contract #:,NOAA SEA GRANT
10,Abstract:,SHELLFISH;PSP;C​LAM;MELANIN;PRO​TEIN. See digital for abstract.
