,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-91-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Temperature monitor for freezers and cold stores
3,Author:,"Kolbe, Edward"
4,,"Schnekenburger, Robert"
5,Publication Year :,1991
6,Source Citation:,"""International Journal of Refrigeration,"" 14:117-119, 1991."
7,# Pages / Video Length:,3
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-91-004
10,Project #:,R/PD-50
11,Abstract:,"The production of high quality frozen foods requires careful management of the temperature of freezers and cold stores. This paper describes a monitoring system consisting of a datalogger housed in a temperature-​controlled box. The system is a portable, inexpensive device, which allows small processors and laboratories to monitor and analyse performance data during various kinds of freezing and storage."
