,MetadataField,Metadata
0,NSGL Document #:,ORESU-X-82-004
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,MODIFICATIONS OF STATIC INPUT-OUTPUT MODELS TO REFLECT SECTORAL CHANGE
3,Author:,"BOYLE, KEVIN JOHN"
4,Publication Year :,1982
5,Publisher:,OSU
6,# Pages / Video Length:,1
7,Publication Type:,theses/disserta​tions
8,Program Report #:,ORESU-X-82-004
9,Grant/Contract #:,NOAA SEA GRANT
10,Project #:,R/PPA-12
11,Abstract:,INDUSTRY;INPUT-​OUTPUT MODEL;ECONOMIC;​PLANNING. SEE DIGITAL FOR ABSTRACT.
