,MetadataField,Metadata
0,NSGL Document #:,ORESU-R-76-028
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"AN EPIBENTHIC SAMPLER USED TO STUDY THE ONTOGENY OF VERTICAL MIGRATION OF ""PANDALUS JORDANI"" (DECAPODA, CARIDEA)"
3,Author:,"ROTHLISBERG, PETER CHARLES"
4,,"PEARCY, WILLIAM GORDON"
5,Publication Year :,1976
6,Source Citation:,"FISHERY BULLETIN, 74(04):994-997, 1976"
7,# Pages / Video Length:,4
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,ORESU-R-76-028
10,Grant/Contract #:,NOAA SEA GRANT
11,Abstract:,SHRIMP
