,MetadataField,Metadata
0,NSGL Document #:,MEU-V-10-002
1,Sea Grant Program/Affiliate:,Maine Sea Grant
2,Title:,Building a resilient coast: Maine confronts climate change (Five part documentary online video)
3,Editor :,"Cone, Joseph"
4,,"White, Susan"
5,,"Grant, Kristen"
6,Publication Year :,2010
7,Publication Type:,videos
8,Notes:,For hard copy DVD see: MEU-V-09-001 or ORESU-V-09-003
9,URL:,http://www.seag​rant.umaine.edu​/program/sarp
10,Abstract:,"Maine and Oregon Sea Grant documentary video, Building a Resilient Coast, re-aired on Maine Public Broadcasting Network."
