,MetadataField,Metadata
0,NSGL Document #:,WASHU-H-03-004
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Native plants, their habits and traditional uses"
3,Author:,"Dailey, Tom"
4,Publication Year :,2003
5,# Pages / Video Length:,52
6,Publication Type:,"handbooks, manuals, guides"
7,Program Report #:,WSG-MR 04-01
8,Project #:,R/ET-13
9,Abstract:,"This guidebook to 49 native plants of the Pacific Northwest coast describes their features and traditional uses by Native Americans. The book includes drawings, some plant names from the Whulshootseed language, and blank pages for notes and illustrations."
