,MetadataField,Metadata
0,NSGL Document #:,WASHU-NR-13-003
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,West Coast longliners must learn to stream
3,Author:,"Melvin, Edward"
4,Publication Year :,2013
5,Source Citation:,"""Fishermen's News,"" 69(11), November 1, 2013."
6,Publication Type:,reprints (not peer-reviewed)
7,Program Report #:,WSG-MA 13-02
8,Project #:,A/FP-7
9,URL:,http://www.fish​ermensnews.com/​story/2013/11/0​1/features/west​-​coast-​longliners-​must-​learn-​to-​stream/222.html
