,MetadataField,Metadata
0,NSGL Document #:,WASHU-V-20-004
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Swinomish Community Visits a Clam Garden (video)
3,Author:,"Greiner, Courtney"
4,,"Barber, Julie"
5,,"Campbell, Larry"
6,,"Donatuto, Jaimie"
7,,"Heidt, Myk"
8,,"Hunter, Lindy"
9,,"Loomis, Lorraine"
10,,"Poe, Melissa"
11,,"McArdle, James"
12,Publication Year :,2020
13,Publisher:,Washington Sea Grant
14,,"Published on YouTube April 12, 2021"
15,# Pages / Video Length:,4:18 minutes/seconds
16,Publication Type:,videos
17,Program Report #:,WSG-MR 20-10
18,Project #:,A/ACE-1
19,URL:,https://www.you​tube.com/watch?​v=9dDesE4u07U
20,Abstract:,Swinomish community members visited a clam garden in British Columbia during the summer of 2019. Clam gardens are an ancient Indigenous technology of carefully tended terraced beaches that increase clam productivity. Watch this video to learn more about clam gardens and why they are so important to Indigenous people.
