,MetadataField,Metadata
0,NSGL Document #:,ORESU-WR-09-006
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,Minding Nemo: management of post-shipping morbidity in wild-caught marine ornamental fish - some observations and recommendations
3,Author:,"Miller-Morgan, Timothy J."
4,,"Heidel, Jerry R."
5,,"Remmer, Brad"
6,,"Machian, John"
7,,"Hildreth, Rob"
8,,"Bennett, Jim"
9,Publication Year :,2009
10,Source Citation:,"""American Veterinary Medical Association Annual Conference,"" Seattle, Washington, July 11-14, 2009."
11,# Pages / Video Length:,2
12,Publication Type:,reprints (not peer-reviewed)
13,Program Report #:,ORESU-WR-09-006
14,Project #:,A/ESG-07
