,MetadataField,Metadata
0,NSGL Document #:,WASHU-Q-72-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"A Report on the Washington Sea Grant Program for January 1, 1972 - December 31, 1972"
3,Publication Year :,1972
4,Publisher:,Washington Sea Grant
5,# Pages / Video Length:,37
6,Publication Type:,"program reports (annual, progress, planning reports, etc)"
7,Program Report #:,WSG-PM 73-1
8,,NOAA-74041701
9,Grant/Contract #:,NG-1-72
10,Abstract:,"In this report, highlights of the 1972 Washington Sea Grant Program are summarized and published by the University of Washington's Division of Marine Resources."
