,MetadataField,Metadata
0,NSGL Document #:,WASHU-G-99-006
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Septic sense, scents, cents: 3 supreme insights to the fearless flush"
3,Author:,"King, Teri"
4,Publication Year :,1999
5,# Pages / Video Length:,8
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Program Report #:,WSG-AS 99-16
8,Project #:,A/FP-7
9,Abstract:,"A well-placed and properly functioning septic system is an effective method of human waste disposal. Its operation and maintenance are your duty and your system's successful operation will require an educated, hands-on approach. This informative publication explains how to properly maintain and operate on-site septic systems by providing a basic understanding of how the systems work, what causes them to fail, and how to prevent costly repair and replacement. Topics such as soap and toilet paper selections, water usage, and common-sense answers to long-held myths are covered."
