,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-86-021
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Inverted repeat of ""Olisthodiscus luteus"" chloroplast DNA contains genes for both subunits of ribulose-​1,5-​bisphosphate carboxylase and the 32,000-dalton Qb protein: phylogenetic implications"
3,Author:,"Reith, Michael"
4,,"Cattolico, Rose Ann"
5,Publication Year :,1986
6,Source Citation:,"""Proceedings of the National Academy of Science,"" USA 83:8599-8603, 1986."
7,# Pages / Video Length:,5
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,WSG-TA 86-25
