,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-99-003
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Web site redesigns use communication basics
3,Author:,"Blanton, Nancy"
4,Publication Year :,1999
5,Source Citation:,"""The Association for Women in Communications Newsletter,"" pp. 4-5, May 1999."
6,# Pages / Video Length:,2
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,WSG-TA 99-06
9,Project #:,A/PC-5
10,Abstract:,"This article reviews some basic elements of web site design: clarity, readability, navigability, style, and consistency. Speed and accessibility are also discussed."
