,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-80-018
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,THYROID HORMONES IN SMOLTIFICATION OF ANADROMOUS SALMONIDS
3,Author:,"DICKHOFF, WALTON W"
4,,"FOLMAR, LEROY C"
5,,"MIGHELL, JAMES L"
6,,"MAHNKEN, CONRAD V W"
7,,"GORBMAN, AUBREY"
8,Publication Year :,1980
9,Source Citation:,"NORTHERN PACIFIC AQUACULTURE SYMPOSIUM PROCEEDINGS PP. 217- 226 ANCHORAGE, ALASKA AUGUST 1980"
10,Publication Type:,reprints (not peer-reviewed)
11,Program Report #:,WSG-TA 80-18
12,Project #:,R/A-18
13,Abstract:,SALMON;HORMONE;​SMOLT;AQUACULTU​RE
