,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-85-002
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,THE DISEASE RESISTANCE RESPONSE IN PEA IS ASSOCIATED WITH INCREASED LEVELS OF SPECIFIC MRNAS
3,Author:,"RIGGLEMAN, ROBERT C"
4,,"FRISTENSKY, BRIAN"
5,,"HADWIGER, LEE A"
6,Publication Year :,1985
7,Source Citation:,"PLANT MOLECULAR BIOLOGY, 4( ):0081-0086, 1985"
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 85-2
10,Abstract:,PLANT PATHOLOGY;GENET​ICS;FUSARIUM SOLANI
