,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-99-002
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Surge in women users creates a different web
3,Author:,"Blanton, Nancy"
4,Publication Year :,1999
5,Source Citation:,"""The Association for Women in Communications Newsletter,"" April 1999."
6,# Pages / Video Length:,1
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,WSG-MR 99-05
9,Project #:,A/PC-5
10,Abstract:,This newsletter article describes the recent changes in web site design and internet advertising as a result of the shift in composition of internet users. Increased use by women and other groups has caused many web-based services to make changes with these target groups in mind.
