,MetadataField,Metadata
0,NSGL Document #:,WASHU-E-00-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,The Sound: Puget Sound multimedia CD-ROM tutorial guide
3,Author:,"Bridges, Marilyn"
4,Publication Year :,2000
5,# Pages / Video Length:,116
6,Publication Type:,educational materials
7,Program Report #:,WSG-MR 00-14
8,Project #:,A/PC-7
9,Notes:,See WASHU-C-97-001 for CD-ROM.
10,Abstract:,"A companion guide to ""The Sound: Puget Sound Multimedia CD- ROM,"" this tutorial guide helps teachers use the CD-ROM in the classroom while addressing some of Washington State's Essential Academic Learning Requirements. Focusing on student-​centered learning and environmental science, the tutorial includes five modules that correspond with the CD- ROM pull down menus, classroom writing and modeling exercises, and Internet resources for additional studies. The broader topics of the curriculum are: properties (geology, meteorology, circulation, bathymetry); ecosystems; species; status (air and water quality, waste); and marine affairs (culture, economics, law)."
