,MetadataField,Metadata
0,NSGL Document #:,WASHU-G-14-007
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,DART - Deep-ocean Assessment and Reporting of Tsunamis
3,Author:,"Tepel, Mackenzie"
4,Publication Year :,2014
5,Publisher:,Pacific Marine Environmental Laboratory
6,# Pages / Video Length:,2
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,WSG-MR 15-012
9,Project #:,A/ACE-1
10,Abstract:,"Deep-ocean Assessment and Reporting of Tsunamis (DART) buoy technology, developed at NOAA's Pacific Marine Environmental Lab (PMEL) in Seattle, Washington, is based on the integration of real-time measurements and modeling technologies. This system improves the capability for the early detection and real-time reporting of tsunamis in the open ocean."
