,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-87-032
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Structural, functional, and evolutionary analysis of ribulose- 1,5-​bisphosphate carboxylase from the chromophytic alga ""Olisthodiscus luteus."""
3,Author:,"Newman, Scott M."
4,,"Cattolico, Rose Ann"
5,Publication Year :,1987
6,Source Citation:,"""Plant Physiology,"" 84:483-490. 1987."
7,# Pages / Video Length:,8
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 87-34
