,MetadataField,Metadata
0,NSGL Document #:,WASHU-V-09-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Geoduck aquaculture: a sound science seminar (online video)
3,Author:,"Van Blaricone, Glenn"
4,Publication Year :,2009
5,# Pages / Video Length:,
6,Publication Type:,videos
7,Program Report #:,WSG-MR 09-07
8,Project #:,C/A/PC-5
9,URL:,http://www.wsg.​washington.edu/​research/geoduc​k/index.html
10,Abstract:,"Flash movie that streams on WSG website of a seminar held in 2009 on geoduck aquaculture during Sound Science Seminar on Geoduck Aquaculture. Including ""Geoduck Aquaculture Investigations in Puget Sound: Digging Deep for Answers"" (Glenn Van Blaricom) and ""Local Effects of Geoduck Aquaculture on a Meadow of Intertidal Eelgrass in Samish Bay, Washington"" (Micah Horwith)."
