,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-72-015
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,NEW BONDING SYSTEMS FOR PAPER
3,Author:,"ALLAN, GEORGE GRAHAM"
4,,"CROSBY, G D"
5,,"LEE, J -H"
6,,"MILLER, M L"
7,,"REIF, W M"
8,Publication Year :,1972
9,Source Citation:,"SYMPOSIUM ON MAN-MADE POLYMERS IN PAPERMAKING PROCEEDINGS PP. 85-96 FINNISH PAPER ENGINEERS' ASSOCIATION FINNISH PULP AND PAPER RESEARCH INSTITUTE HELSINKI, FINLAND JUNE 5-8, 1972"
10,Publication Type:,reprints (not peer-reviewed)
11,Program Report #:,WSG-TA 73-15 NOAA-73102404
