,MetadataField,Metadata
0,NSGL Document #:,AKU-W-86-003
1,Sea Grant Program/Affiliate:,Alaska Sea Grant
2,Title:,Proceedings of the International Rockfish Symposium 1986
3,Author:,"Melteff, Brenda R. (Coordinator)"
4,Publication Year :,1987
5,Source Citation:,"Proceedings of the International Rockfish Symposium, Fifth Lowell Wakefield Fisheries Symposium Series, Anchorage, Alaska, October 20-22, 1986"
6,Publisher:,University of Alaska Sea Grant College Program
7,# Pages / Video Length:,393
8,Publication Type:,conference/work​shop proceedings
9,Program Report #:,AK-SG-87-2
10,,Alaska Sea Grant Report No. 87-2
11,Grant/Contract #:,NA86AA-D-SG041
12,Project #:,A/75-01
13,Abstract:,"The rockfish species complex comprises numerous species of scorpaenid fishes in the genera ""Sebastes"" and ""Sebastolobes""; rockfishes are an important part of North Pacific, and North Atlantic marine resources, with catches ranking at the top of domestic bottomfish landings. On the Pacific Coast significant rockfish resources have been depleted and are now at population levels far below their productive optima. The history of rockfish fisheries suggests that managing such resources is not easy, and that detailed information on stock sizes and biological characteristics of the species are required. Although the Pacific Ocean perch attracted early attention, the basic biological information on the various species and assessments of stock sizes and conditions have historically been sketchy, at least until the last decade. With passage of the U.S. Fisheries and Conservation Management Act in 1976, the picture began to change. This symposium is a vehicle for updating and summarizing current information and for pointing the direction for future studies. The following papers are included in this proceedings: 1. Quality starts with fundamentals. S. J. Westrheim pp. 5-14. 2. The redfish resources off Canada's east coast. D. B. Atkinson pp. 15-34. 3. A history of California rockfish fisheries. William H. Lenarz pp. 35-42. 4. The rockfish fisheries off western Canada, 1860-1985. S. J. Westrheim pp. 43-50. 5. The history of the rockfish fisheries in Alaskan waters. Barry Bracken pp. 51-59. 6. Movement studies of nearshore demersal rockfishes in Puget Sound, Washington. Kathleen R. Matthews, et al. pp. 63-72. 7. Ocean climate influences on groundfish recruitment in the California Current. Jerrold Norton pp. 73-98. 8. Status of early life history studies of northeast Pacific rockfishes. Arthur W. Kendall, Jr. and William H. Lenarz pp. 99-128. 9. Post-larval copper rockfish in the Strait of Georgia: habitat use, feeding, and growth in the first year. Lewis Haldorson and Laura J. Richards pp. 129-142. 10. Reproductive mode and energy costs of reproduction in the genus ""Sebastes"". George W. Boehlert, et al. pp. 143-152. 11. Use of a length frequency simulator to explore the information content in length data for a long-lived species, silvergray rockfish (""Sebastes brevispinis""). Richard D. Stanley pp. 155-170. 12. Age and growth of yelloweye rockfish (""Sebastes ruberrimus"") landed in southeastern Alaska. Victoria Moran O'Connell and Fritz C. Funk pp. 171- 186. 13. A comparison of age estimates derived from the surface and cross-section methods of otolith reading for Pacific ocean perch (""Sebastes alutus""). Richard D. Stanley pp. 187-196. 14. Long-term cycles of growth in ""Sebastes"": extracting information from otoliths. George W. Boehlert and Mary M. Yoklavich pp. 197-208. 15. Population parameters for rougheye rockfish (""Sebastes aleutianus""). Bonita Nelson and Terrance J. Quinn II pp. 209-228. 16. Results from tagging black rockfish (""Sebastes melanops"") off the Washington and northern Oregon coast. Brian N. Culver pp. 231-240. 17. Results of a bottom trawl survey of Pacific ocean perch off Washington and Oregon during 1985. Mark E. Wilkins and Kenneth L. Weinberg pp. 267- 287. 18. Rockfish in the Aleutian Islands: results from the 1980 and 1983 U.S.- Japan cooperative demersal trawl surveys. Thomas Wilderbuer pp. 267-286. 19. Comparing abundance and productivity estimates of Pacific ocean perch in waters off the United States. Daniel H. Ito pp. 287-298. 20. The British Columbia inshore rockfish fishery: stock assessment and fleet dynamics of an unrestricted fishery. Laura J. Richards and A. J. Cass pp. 299-308. 21. Identification of species assemblages and results of management applications for shelf and slope rockfishes off British Columbia. B. M. Leaman and D. A. Nagtegael pp. 309-328. 22. Restricted year-class structure and recruitment lag within a discrete school of yellowtail rockfish. H. Richard Carlson pp. 329-331. 23. Recent exploitation patterns and future stock rebuilding strategies for acadian redfish, ""Sebastes fasciatus"" Storer, in the Gulf of Maine-Georges Bank region of the northwest Atlantic. Ralph K. Mayo pp. 335-354. 24. Incorporating reproductive value into Pacific ocean perch management. B. M. Leaman pp. 336-368. 25. Impacts of management regulations on the catch and utilization of rockfish in Oregon. Ellen K. Pikitch pp. 369-384."
