,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-87-033
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Assessment of inbreeding and its implications for salmon broodstock development
3,Author:,"Hershberger, William K."
4,,"Myers, James M."
5,,"Iwamoto, R. N."
6,,"McAuley, W. C."
7,Publication Year :,1987
8,Source Citation:,"""Genetics in Aquaculture: Proceedings of the Sixteenth U.S.-Japan Meeting on Aquaculture,"" R. S. Svrjcek (editor), Charleston, South Carolina, October 20-21, 1987."
9,# Pages / Video Length:,7
10,Publication Type:,reprints (not peer-reviewed)
11,Program Report #:,WSG-CH 90-01
