,MetadataField,Metadata
0,NSGL Document #:,HAWAU-N-73-007
1,Sea Grant Program/Affiliate:,Hawaii Sea Grant
2,Title:,"Coastal Zone Communique (Communique No. 6-12, January-​November 1973)"
3,Author:,"Rutka, Justin"
4,Publication Year :,1973
5,Publisher:,University of Hawaii Sea Grant Program
6,# Pages / Video Length:,50
7,Publication Type:,periodicals
8,Program Report #:,UNIHI-SEAGRANT
9,Abstract:,Comprehensive coastal zone management issues by Earl H. Bradley Jr. and John M. Armstrong; Comprehensive land use policy as a coastal zone management tool: a case study of Hawaii; Washington Briefs; and approaches to state coastal management by Malcolm J. Grant.
