,MetadataField,Metadata
0,NSGL Document #:,NYSGI-R-82-023
1,Sea Grant Program/Affiliate:,New York Sea Grant
2,Title:,A TWO DIMENSIONAL NUMERICAL MODEL FOR MIXING IN NATURAL RIVERS
3,Author:,"HALABI, Y S"
4,,"SHEN, H T"
5,,"PAPATHEODOROU, T S"
6,,"BRIGGS, W L"
7,Publication Year :,1982
8,Source Citation:,"COMPUTATIONAL METHODS AND EXPERIMENTAL MEASUREMENTS PROCEEDINGS OF THE INTERNATIONAL CONFERENCE PP. 76-88 WASHINGTON, D.C. JULY 1982"
9,Publication Type:,reprints (not peer-reviewed)
10,Abstract:,MODEL;RIVER;MIX​ING
