,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-78-009
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,ENGINEERING A PLANT FOR ENZYMATIC PRODUCTION OF SUPPLEMENTAL FISH PROTEINS
3,Author:,"PIGOTT, GEORGE M"
4,,"BUCOVE, GREGORY O"
5,,"OSTRANDER, JOYCE G"
6,Publication Year :,1978
7,Source Citation:,"JOURNAL OF FOOD PROCESSING AND PRESERVATION, 2( ):0033-0054, 1978"
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 78-16
10,Project #:,R/F-40
11,Abstract:,PROTEIN;FISH;PR​OCESSING;SEAFOO​D;TECHNOLOGY
