,MetadataField,Metadata
0,NSGL Document #:,WASHU-E-08-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Empowering future generations: education projects at Washington Sea Grant
3,Author:,"Hahn, Julie"
4,,"Reichley, Nancy"
5,Publication Year :,2008
6,# Pages / Video Length:,2
7,Publication Type:,educational materials
8,Program Report #:,WSG-PS 08-01
9,Project #:,A/E-1
10,Abstract:,"Encouraging new generations of marine scientists, policymakers and educators is a core endeavor of Washington Sea Grant (WSG). WSG provides extensive support and guidance for its fellowship and internship applicants and recipients. By presenting students with information and facilitating access to opportunities, more of the best and the brightest consider marine science and policy careers and, in doing so, help shape the future of our blue planet."
