,MetadataField,Metadata
0,NSGL Document #:,MASGC-N-13-06b
1,Sea Grant Program/Affiliate:,Mississippi Alabama Sea Grant
2,Title:,"NewsREEL (Volume 13, Number 2, Fall 2013)"
3,Author:,"Pulkrabek, Ryan J. F."
4,,"Washington, Lorin"
5,Editor :,"Turner, Keith"
6,,"Pace, Niki"
7,,"Janasie, Catherine"
8,Publication Year :,2013
9,Publisher:,Mississippi-​Alabama Sea Grant Legal Program
10,# Pages / Video Length:,11
11,Publication Type:,periodicals
12,Program Report #:,MASGP-13-033-02
13,Grant/Contract #:,NOAA Sea Grant No. NA10OAR4170078
14,Project #:,A/O-32
15,Notes:,"A Newsletter for the Mississippi Bar Section on Natural Resources, Energy and Environmental Law. No other issues of this newsletter title were received by the NSGL"
16,Abstract:,"This second 2013 newsletter reports on legal issues affecting natural resources, energy, and the environment in Mississippi. Articles in this issue: U.S. Supreme Court considers logging discharges under the Clean Water Act; Land use permit conditions must be proportional with effects of proposed use; A benefit to match the burden: The new aboveground storage tank program; 2013 Legislative Summary."
