,MetadataField,Metadata
0,NSGL Document #:,WASHU-G-20-006
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Crab Team 2020: European Green Crab and Pocket Estuary Monitoring
3,Author:,"Grason, Emily"
4,Publication Year :,2020
5,Publisher:,Washington Sea Grant
6,# Pages / Video Length:,1
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,WSG-MR 20-07
9,Project #:,A/ACE-1
10,Abstract:,"An advisory report on Monitoring Effort, Molt Search, and COVID-19 Safety regarding the European Green crab and pocket estuary monitoring."
