,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-82-006
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,INFLUENCE OF SUSPENDED VOLCANIC ASH ON HOMING BEHAVIOR OF ADULT CHINOOK SALMON
3,Author:,"WHITMAN, RANDALL P"
4,,"QUINN, THOMAS P"
5,,"BRANNON, ERNEST L"
6,Publication Year :,1982
7,Source Citation:,"AMERICAN FISHERIES SOCIETY. TRANSACTIONS, 111( ):0063-0069, 1982"
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 82-06
10,Abstract:,VOLCANO;SALMON;​BEHAVIOR
