,MetadataField,Metadata
0,NSGL Document #:,NSGLC-N-12-02b
1,Sea Grant Program/Affiliate:,National Sea Grant Law Center
2,Title:,"The SandBar (Volume 11, Number 2, May 2012)"
3,Author:,"Bowling, Terra"
4,Publication Year :,2012
5,# Pages / Video Length:,15
6,Publication Type:,periodicals
7,Program Report #:,NSGLC-12-02-02
8,Abstract:,The SandBar is a quarterly publication reporting on legal issues affecting he U.S. oceans and coasts. Its goal is to increase awareness and understanding of coastal problems and issues.
9,,The following articles are included in this periodical: 1. FWS reaches settlement agreement on ESA work plan. Joanna B. Wymyslo pp. 4-6. 2. Federal court upholds NMFS decision limiting pesticide. April Killcreas pp. 7-9. 3. Washington State Supreme Court rules on groundwater use. Mary C. Olive pp. 10-11. 4. No takings claims allowed: revisiting permit exactions. Barton Norfleet pp. 12-13. 5. Third Circuit grapples with Rapanos. Christopher Motta-Wurst pp. 14-15.
