,MetadataField,Metadata
0,NSGL Document #:,WASHU-G-98-003
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Landscaping your septic system
3,Author:,"King, Teri"
4,,"Holdcroft, Jodie"
5,Publication Year :,1998
6,# Pages / Video Length:,2
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,WSG-AS 98-02
9,Project #:,A/FP-7
10,Abstract:,"This brochure, one of a series on the care and maintenance of on-site sewage systems, explains how landscaping can do double duty as an aid to efficient operation of septic systems."
