,MetadataField,Metadata
0,NSGL Document #:,PRU-R-88-010
1,Sea Grant Program/Affiliate:,Puerto Rico Sea Grant
2,Title:,"""Heterocarpus cutressi,"" new species, and ""Plesionika macropoda"" Chace, 1939: two caridean shrimps of the family Pandalidae (Crustacea: Decapoda) from Puerto Rico and the U.S. Virgin Islands"
3,Author:,"Monterrosa, Oscar E."
4,Publication Year :,1988
5,Source Citation:,"""Proceedings of the Biological Society of Washington,"" 101(3):633-639, 1988."
6,# Pages / Video Length:,7
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,PRU-R-90(3)
9,Project #:,PD-56-R/LR07
10,Abstract:,"Two species of deep-water (320-777 m) pandalid shrimps are reported. Previously undescribed is ""Heterocarpus cutressi,"" n. sp. ""Plesionika macropoda"" is redescribed due to lack of figures in the original description. Specimens of both species were collected in baited, wire-mesh traps."
