,MetadataField,Metadata
0,NSGL Document #:,WASHU-WR-09-007
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Innovative approaches to community-based entrepreneurial development: fisheries (powerpoint)
3,Author:,"Granger, Pete"
4,Publication Year :,2009
5,Source Citation:,"""2009 Economic Ventures Summit,"" Lummi Nation, May 22-23, 2009."
6,# Pages / Video Length:,18 slides
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,WSG-MR 09-10
9,Project #:,A/FP-7
10,Abstract:,Public presentation to the Lummi Nation regarding opportunities for fisheries-based community and economic development. Topics include: Current and future seafood markets; Salmon predictions; Entrepreneurial opportunities; Sea Grant classes.
