,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-04-004
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Northwest researchers wade through ballast water issues
3,Author:,"Hulpke, Kate"
4,Publication Year :,2004
5,Source Citation:,"""Northwest Science & Technology,"" pp. 20-23, Spring 2004."
6,# Pages / Video Length:,4
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,WSG-MA 04-01
9,Project #:,E/ES-7
10,Abstract:,"Ballast water is in the spotlight as federal and state legislators decide on regulations in an attempt to reduce the transit of invasive species. The article focuses on the research of Russ Herwig and Jeff Cordell, University of Washington researchers supported by the Washington Sea Grant Program, as they search for solutions."
