,MetadataField,Metadata
0,NSGL Document #:,ORESU-T-87-001
1,Sea Grant Program/Affiliate:,Oregon Sea Grant
2,Title:,"The Neustonic Fauna in Coastal Waters of the Northeast Pacific: Abundance, Distribution, and Utilization by Juvenile Salmonids"
3,Author:,"Brodeur, Richard D."
4,,"Mundy, Bruce C."
5,,"Pearcy, William G."
6,,"Wisseman, Robert W."
7,Publication Year :,1987
8,Publisher:,Oregon State University Sea Grant College Program
9,# Pages / Video Length:,61
10,Publication Type:,technical reports/surveys​/patents
11,Program Report #:,ORESU-T-87-001
12,Grant/Contract #:,NOAA Sea Grant No. NA79AA-D-00106
13,Project #:,R/CE-10
14,Abstract:,"A diverse group of organisms occupies the upper 20 cm of the ocean's water column. Those organisms that reside immediately below the air-sea interface are called `neuston'; those at the interface are called `pleuston.' The researchers examined pleustonic and generally neustonic organisms found in the intestines of several pelagic predators, particularly juvenile salmonids, collected off the coast of Washington and Oregon. They examined the abundance and distribution patterns of all taxa greater than 5 mm (including terrestrial insects) and compared the species composition and relative abundance of the taxa collected in the neuston nets with those found in the stomachs of juvenile coho and chinook salmon."
