,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-84-005
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,SMOLTIFICATION IN THE NET-PEN CULTURE OF COHO SALMON: QUANTITATIVE GENETIC ANALYSIS
3,Author:,"SAXTON, A M"
4,,"HERSHBERGER, W K"
5,,"IWAMOTA, R N"
6,Publication Year :,1984
7,Source Citation:,"AMERICAN FISHERIES SOCIETY. TRANSACTIONS, 113( ): 0339-0347, 1984"
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 84-3
10,Abstract:,SALMON;SMOLT;SA​LMONID;GENETIC
