,MetadataField,Metadata
0,NSGL Document #:,WASHU-E-11-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Orca Bowl 2011
3,Editor :,"Williams, Daniel"
4,Publication Year :,2011
5,# Pages / Video Length:,2
6,Publication Type:,educational materials
7,Program Report #:,WSG-MR 11-07
8,Project #:,A/E-1
9,Abstract:,"Part of the National Ocean Sciences Bowl, Orca Bowl is an annual Washington competition that challenges high-school students' knowledge of the world's oceans. Orca Bowl offers teachers a vehicle to teach sciences in an interdisciplina​ry manner and provides access to marine educators and experts. All teams receive awards for participation in Orca Bowl. Top prizes include shipboard research experiences and a scholarship to the School of Oceanography."
