,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-81-013
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"LINGCOD, ""OPHIODON ELONGATUS"", SPAWNING AND NESTING IN SAN JUAN CHANNEL, WASHINGTON"
3,Author:,"LARIVIERE, MARK G"
4,,"JESSUP, DAVID D"
5,,"MATHEWS, STEPHEN B"
6,Publication Year :,1981
7,Source Citation:,"CALIFORNIA FISH AND GAME, 67(04):0231-​0239, 1981"
8,Publication Type:,reprints (peer-reviewed)
9,Program Report #:,WSG-TA 81-13
10,Project #:,R/F-23
11,Abstract:,WASHINGTON;LING​COD;WASHINGTON;​SPAWN;BEHAVIOR
