,MetadataField,Metadata
0,NSGL Document #:,WASHU-WR-08-004
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Straight talk about the seafood you eat (powerpoint)
3,Author:,"Granger, Pete"
4,Publication Year :,2008
5,Source Citation:,"""Sound Waters Conference 2008,"" Coupeville, Washington, February 2, 2008."
6,# Pages / Video Length:,63 slides
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,A/FP-7
9,Abstract:,Public Presentation regarding: How fish are caught; Wild fisheries; Aquaculture; Benefits of consumption; Issues to be concerned about.
