,MetadataField,Metadata
0,NSGL Document #:,WASHU-NR-19-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Swinomish Visits a Clam Garden in British Columbia
3,Author:,"Westendorf, Layla"
4,Publication Year :,2019
5,Source Citation:,"Qyuuqs News, 53(7): 14-15, September 2019; https://issuu.c​om/swinomish/do​cs/20190911_qyu​uqs_sept_vol53n​o7_online"
6,Publisher:,Swinomish Indian Tribal Community
7,# Pages / Video Length:,2
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,WSG-MR 19-25
10,Project #:,R/RCE-7
11,URL:,https://issuu.c​om/swinomish/do​cs/20190911_qyu​uqs_sept_vol53n​o7_online
12,Abstract:,Indigenous communities have maintained a sustainable environment for millennia.
