,MetadataField,Metadata
0,NSGL Document #:,CONN-G-94-002
1,Sea Grant Program/Affiliate:,Connecticut Sea Grant
2,Title:,"Aquatic immigrants of the northeast: Asian clam, ""Corbicula fluminea"""
3,Author:,"Balcom, Nancy C."
4,Publication Year :,1994
5,Source Citation:,"Cromwell, Connecticut, January 25, 1995."
6,# Pages / Video Length:,2
7,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
8,Program Report #:,CT-SG-94-05
9,Project #:,A/E-5
10,Abstract:,"The Asian clam originated from southeast Asia. First introduced on the west coast of North America around 1924, it was discovered in Washington state in 1937. By the 1970s, the clam occupied most of the Mississippi Basin, the Gulf Coast and eastern United States. Although New England was considered environmentally inhospitable, Asian clams were discovered in the lower Connecticut River, near Haddem Neck, Connecticut, in 1990. This fact sheet provides information on this invader, which is a serious biofouler of raw water intake pipes for power and water suppliers and industries."
