,MetadataField,Metadata
0,NSGL Document #:,WASHU-V-17-002
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,WSG How to prevent Small Oil Spills
3,Author:,"Wagner, M."
4,,"Brodbeck, Amy"
5,Publication Year :,2017
6,# Pages / Video Length:,3:34 minutes
7,Publication Type:,videos
8,Program Report #:,WSG-AV 17-03
9,Project #:,A/ACE-1
10,Notes:,"Published June 30, 2017"
11,URL:,www.youtube.com​/watch?v=eFMJqT​TfnZM
12,Abstract:,"Boaters, learn how you can easily prevent small oil spills from leaking out of your bilge with these simple tips from Washington Sea Grant."
