,MetadataField,Metadata
0,NSGL Document #:,WASHU-Q-94-001
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Partnerships and cooperation on the Olympic Peninsula: a summary of natural resource programs relating to the Olympic Peninsula and an analysis of how to promote cooperative management of the Olympic coast national marine sanctuary
3,Author:,"Eng, Michael"
4,Publication Year :,1994
5,# Pages / Video Length:,93
6,Publication Type:,"program reports (annual, progress, planning reports, etc)"
7,Program Report #:,WSG-MR 94-02
8,Project #:,M-01
9,,M-02
10,Abstract:,"This publication resulted from an effort by Washington Sea Grant Program and NOAA's Sanctuaries and Reserves Division to explore cooperative endeavors. They identified a common interest in improving linkages with the agencies and organizations conducting natural resource activities on the Olympic Peninsula. Part I of the resulting report gives an overview of natural resource programs on the Olympic Peninsula by federal, state, tribal and local community agencies and organizations. Part II analyzes a collaborative approach for promoting cooperative management of the Olympic Coast National Marine Sanctuary."
