,MetadataField,Metadata
0,NSGL Document #:,LDGO-R-75-002
1,Sea Grant Program/Affiliate:,New York Sea Grant
2,Title:,"Comparative growth of hard shell clams (Mercenaria mercenaria Linne and Mercenaria campechiensis Gmelin) and their F1 cross in temperate, subtropical, and tropical natural waters and in a tropical artificial upwelling mariculture system"
3,Author:,"Sunderlin, J. B."
4,,"Brenner, M."
5,,"Castagna, M."
6,,"Hirota, J."
7,,"Menzel, R. W."
8,,"Roels, O. A."
9,Publication Year :,1975
10,Source Citation:,"Proceedings of the Sixth Annual World Mariculture Society Meeting, pp. 171-183, Seattle, Washington, January 27-31, 1975"
11,Publication Type:,reprints (not peer-reviewed)
12,Program Report #:,LDGO CB# 2262 CUNY IO CB# 59
