,MetadataField,Metadata
0,NSGL Document #:,LSU-R-00-043
1,Sea Grant Program/Affiliate:,Louisiana Sea Grant
2,Title:,MHACS: marine habitat acoustic characterizatio​n systems. A program for the acquisition and interpretation of digital acoustics to characterize marine habitat (abstract)
3,Author:,"Wilson, Charles A."
4,,"Roberts, Harry H."
5,,"Supan, John"
6,Publication Year :,2000
7,Source Citation:,"National Shellfisheries Association, 2000 Annual Meeting, Abstracts, p. 41, Seattle, Washington, March 19- 23, 2000."
8,# Pages / Video Length:,1
9,Publication Type:,reprints (not peer-reviewed)
