,MetadataField,Metadata
0,NSGL Document #:,MIT-WR-13-006
1,Sea Grant Program/Affiliate:,MIT Sea Grant
2,Title:,"Gloucester, Massachusetts: an iconic fishing port"
3,Author:,"Hall-Arber, Madeleine"
4,Publication Year :,2013
5,Source Citation:,"""Third National Working Waterfronts and Waterways Symposium,"" Tacoma, Washington, March 25-28, 2013."
6,# Pages / Video Length:,14
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,MITSG-13-30
9,Project #:,2010-A/A-3
10,Abstract:,"Presentation on changes in the port city of Gloucester, Massachusetts as a reflection of changes in the fishing and maritime industries."
