,MetadataField,Metadata
0,NSGL Document #:,WASHU-I-19-005
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Washington Coastal Hazards Resilience Network (website)
3,Author:,"Blalock, Jackson"
4,Publication Year :,2019
5,# Pages / Video Length:,5
6,Publication Type:,"web/blog sites (topical), other web-based resources"
7,Program Report #:,WSG-MR 19-36
8,Project #:,A/ACE-1
9,URL:,https://wacoast​alnetwork.com
10,Abstract:,"Our goal is to strengthen the resilience of Washington’s coastal communities thr​ough collaboration, education and knowledge exchange. This website can orient you to relevant scienc​e, best practices and other resources relat​ed to coastal hazards. We have designed this website to guide you in the process of learning about coastal hazards, direct you to tools and resources, give you examples of projects happening along the coast, and connect you with people who are involved in this work."
