,MetadataField,Metadata
0,NSGL Document #:,WASHU-G-14-009
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,What is Green Shores for Homes?
3,Author:,"Faghin, Nicole"
4,Publication Year :,2014
5,# Pages / Video Length:,2
6,Publication Type:,"advisory/extens​ion reports; fact sheets, posters"
7,Program Report #:,WSG-AS 15-02; WSG-AS 15-03
8,Project #:,A/ACE-1
9,Notes:,Combined these two page each fact sheets (15-02; 15-03) that have the same printed information. WSG-AS 15-02 shows a freshwater picture and WSG-AS 15-03 shows a marine water picture which is the only difference. Both pdfs are included in this entry.
10,Abstract:,"Green Shores for Homes is a voluntary, incentive-based program that helps waterfront homeowners restore natural shorelines and enjoy the many recreational, scenic, environmental, and shoreline-​protection benefits they bring."
