,MetadataField,Metadata
0,NSGL Document #:,VSGCP-R-85-010
1,Sea Grant Program/Affiliate:,Virginia Sea Grant
2,Title:,"Resource availability and economic considerations for the production of surimi from spiny dogfish (""Squalus acanthias"") in the mid-Atlantic region"
3,Author:,"DuPaul, William D."
4,,"Grulich, P. Ronald"
5,Publication Year :,1985
6,Source Citation:,"""Proceedings of the International Symposium on Engineered Seafood Including Surimi,"" Roy E. Martin and Robert L. Collette (eds.), pp. 308-321, Seattle, Washington, November 19-21, 1985."
7,Publication Type:,reprints (not peer-reviewed)
8,Program Report #:,VSG-86-56R
9,Abstract:,"Serious consideration is currently being given to the feasibility of applying surimi-​processing technology in order to utilize menhaden (""Brevoortia tyrannus"") for human food consumption. The menhaden industry infrastructure in the Chesapeake Bay and mid-Atlantic region is well developed for the production primarily during the late spring, summer, and fall months. Additional supplies of raw material must be secured during the winter months to keep a menhaden-based surimi plant operating at peak efficiency and to maximize returns on fixed assets. A complementary species would have to meet several exacting requirements to be considered as a possible alternative source of raw material. The spiny dogfish ""Squalus acanthias"") is an alternative species which meets many, if not all, of these requirements."
