,MetadataField,Metadata
0,NSGL Document #:,MDU-V-17-003
1,Sea Grant Program/Affiliate:,Maryland Sea Grant
2,Title:,The Knauss Legislative Fellowship: Exciting. Educational. Career-​Building.
3,Author:,"Brainard, Jeffrey"
4,Publication Year :,2017
5,# Pages / Video Length:,5 minutes 45 seconds
6,Publication Type:,videos
7,Program Report #:,UM-SG-V-2017-03
8,Project #:,C/C-1
9,URL:,<STYLE type=text/css> p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 11.0px Verdana} </STYLE> www.youtube.com​/watch?v=TTU2vZ​X0wAE
10,Abstract:,"The Knauss Marine Policy Fellowship program gives graduate students with an interest in marine science a unique opportunity to spend a year working for the federal government in Washington, D.C. Fellows can request placements in the legislative or executive branches.Why should you consider requesting a legislative placement? What do legislative fellows do? We asked a couple of them."
