,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-90-013
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Integration of allozyme analyses and genomic manipulations for fish culture and management
3,Author:,"Seeb, James E."
4,,"Miller, Gary D."
5,Publication Year :,1990
6,Source Citation:,"""Electrophoreti​c and Isoelectric Focusing Techniques in Fisheries Management,"" pp. 265-279, 1990."
7,# Pages / Video Length:,15
8,Publication Type:,reprints (not peer-reviewed)
9,Program Report #:,WSG-TA 90-13
10,Project #:,R/A-50
11,Abstract:,Genomic manipulations such as interspecific hybridization and induced polyploidy are becoming common practice in the management and culture of many species. Data from isozyme analyses can frequently play an important role in the utilization of these genetic processes in both applied and basic fishery science. The expression of structural genes encoding enzymes can provide an indirect measure of the number and parental source of chromosome sets present in manipulated progeny; it can also provide a direct measure of gene regulation in diploid and polyploid hybrids. This chapter describes the integral role allozyme analysis will play as the genomic manipulation of stocks becomes more widely utilized in fish culture and fisheries management.
