,MetadataField,Metadata
0,NSGL Document #:,WASHU-H-99-005
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Gravity: homeowner's manual for the operation, monitoring, and maintenance of a gravity on-site sewage treatment and disposal system"
3,Author:,"Leaf, Charles D."
4,,"King, Teri"
5,Publication Year :,1999
6,# Pages / Video Length:,44
7,Publication Type:,"handbooks, manuals, guides"
8,Program Report #:,WSG-AS 99-06
9,Project #:,A/P-07
10,Abstract:,"This manual is intended to help gravity on-site sewage treatment and disposal system owners operate, monitor, and maintain their systems in a knowledgeable manner. The manual reviews components, operation, and regulations of this type of septic system. It will help an owner build and maintain a file of septic system information that will assist him in the operation and monitoring of his gravity on-site sewage system."
