,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-93-024
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,"Chloroplast genes of the marine alga ""Heterosigma carterae"" are transcriptional​ly regulated during a light/dark cycle"
3,Author:,"Reynolds, Ann E."
4,,"McConaughy, Betty L"
5,,"Cattolico, Rose Ann"
6,Publication Year :,1993
7,Source Citation:,"""Molecular Marine Biology and Biotechnology,"" 2(3):121-128, 1993."
8,# Pages / Video Length:,8
9,Publication Type:,reprints (peer-reviewed)
10,Program Report #:,WSG-TA 00-12
