,MetadataField,Metadata
0,NSGL Document #:,WASHU-R-01-017
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Shellfish safety: focus of new sensors
3,Author:,"Kiefer, Julie"
4,Publication Year :,2001
5,Source Citation:,"""Northwest Science and Technology,"" pp. 20-23, Autumn 2001."
6,# Pages / Video Length:,4
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,WSG-MR 01-11
9,Project #:,A/B-2
10,Abstract:,"Scientists in Washington State are collaborating with engineers to develop new tools for controlling shellfish toxicity. Projects profiled in this article include an instrument that rapidly identifies algal species, a microbiosensor that quantifies toxins, and the treatment of shellfish to extremely high pressure to kill or inactivate bacteria and viruses."
