,MetadataField,Metadata
0,NSGL Document #:,WASHU-S-15-004
1,Sea Grant Program/Affiliate:,Washington Sea Grant
2,Title:,Social indicators for the Washington Coast Integrated Ecosystem Assessment
3,Author:,"Poe, Melissa R."
4,,"Watkinson, Melissa K."
5,,"Trosin, Bridget"
6,,"Decker, Kevin"
7,Publication Year :,2015
8,# Pages / Video Length:,159
9,Publication Type:,technical reports/surveys​/patents
10,Program Report #:,WSG-TR 15-07
11,Project #:,A/ACE-1
12,Notes:,Report to Washington Department of Natural Resources in fulfillment of Interagency Agreement No. IAA 14-204
13,Abstract:,"This report documents the development and assessment of social indicators of human wellbeing for the four counties of Washington State's Pacific Coast: Clallam, Jefferson, Grays Harbor, and Pacific counties. The social indicators assessment is part of the Washington integrated ecosystem assessment to support the science needs for Washington marine spatial planning."
