,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-95-014
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Kinematics of prey capture in a flatfish, ""Pleuronichthys verticalis"""
3,Author:,"Gibb, Alice C."
4,Publication Year :,1995
5,Source Citation:,"""The Journal of Experimental Biology,"" 198:1173-1183, 1995."
6,# Pages / Video Length:,11
7,Publication Type:,reprints (peer-reviewed)
8,Project #:,E/G-10
9,Abstract:,"Pleuronectiform fishes (flatfishes) hatch as bilaterally symmetrical larvae, but during metamorphosis one eye migrates to the opposite side of the head and the fish come to rest on their blind (or eyeless) side. As a consequence of eye migration, all pleuronectiform fish possess some degree of cephalic skeletal and muscular bilateral asymmetry. Despite the unique questions that pleuronectiform fishes pose for evolutionary and functional morphologists, the basic kinematics of feeding behavior have yet to be described for any species of flatfish. Therefore, this study has three major goals: (1) to describe the kinematics of prey capture behavior in a flatfish, (2) to compare the kinematics with those described in the literature for other ray-finned (actinopterygia​n) fishes, and (3) to test the hypothesis that functional bilateral asymmetry exists during prey capture in flatfish by comparing movements of features on one side of the head with movements of homologous features on the other side of the head."
