,MetadataField,Metadata
0,NSGL Document #:,CASG-WR-07-013
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Exploiting Marine Bacterial Genomes for Natural Products and Pathways
3,Author:,"Moore, Bradley S."
4,Publication Year :,2007
5,Source Citation:,"""234th American Chemical Society Meeting,"" Boston, Massachusetts, August 2007."
6,# Pages / Video Length:,1
7,Publication Type:,reprints (not peer-reviewed)
8,Project #:,R/NMP-98
9,Abstract:,"The field of genomics has revolutionized modern biotechnology. Its application to natural product research has opened new doors to drug discovery and development through genome mining and metabolic engineering. Over the past few years we have focused on the biosynthesis and bioengineering of microbial natural products from marine sediment-​derived actinomycetes. The recent genome sequence analysis of two obligate marine actinomycetes belonging to the newly established genus Salinispora has revealed a rich and metabolically diverse secondary metabolome comprising roughly 10% of the genome. Using bioinformatics as our guide, we have been able to discover new natural product chemistry and novel biosynthetic processes as well as generate new chemical entities via gene engineering. Our progress on the biosynthesis, bioengineering, genome mining and ex vivo total synthesis of beta-lactone anticancer agent salinosporamide A, the polyene salinilactam A, and the polyketide antibiotic enterocin will be highlighted."
