,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-84-060
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Infrared spectroscopic studies on interactions of water and carbohydrates with a biological membrane
3,Author:,"Crowe, John H."
4,,"Crowe, Lois M."
5,,"Chapman, Dennis"
6,Publication Year :,1984
7,Source Citation:,"""Archives of Biochemistry and Biophysics,"" 232(1):400-407, July, 1984."
8,Publication Type:,reprints (peer-reviewed)
9,Abstract:,"In this paper we extend our previous observations on infrared spectroscopy of carbohydrate-​phospholipid interactions with a phospholipid to similar studies on an intact biological membrane, sarcoplasmic reticulum. We show that hydration state of the membrane affects infrared spectra of its constituents in ways that appear similar to the effects of trehalose, and interpret these findings to be consistent with the suggestion that trehalose replaces water around the dry membrane, thus stabilizing its structure."
