,MetadataField,Metadata
0,NSGL Document #:,CUIMR-I-02-009
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,Periodic Sanitation Control Record (Sanitation Standard Operating Procedures (SSOPs): generic models)
3,Author:,"Tom, Pamela D."
4,,"Price, Robert J."
5,Publication Year :,2002
6,# Pages / Video Length:,3
7,Publication Type:,"web/blog sites (topical), other web-based resources"
8,Program Report #:,UCSGEP 02-8W
9,Project #:,A/EA-1
10,URL:,http://seafood.​ucdavis.edu/hac​cp/ssop/ssop.ht​m
11,Abstract:,"This Periodic Sanitation Control Record, like all the sample Sanitation Standard Operating Procedures provided in this series, is intended as an example for seafood processing plants. Managers can use the example as a reference when completing their own plans."
