,MetadataField,Metadata
0,NSGL Document #:,SCU-R-82-003
1,Sea Grant Program/Affiliate:,Southern California Sea Grant
2,Title:,NORTHERN ANCHOVY AND PACIFIC SARDINE SPAWNING OFF SOUTHERN CALIFORNIA DURING 1978-80: PRELIMINARY OBSERVATIONS ON THE IMPORTANCE OF THE NEARSHORE COASTAL REGION
3,Author:,"BREWER, GARY D"
4,,"SMITH, PAUL E"
5,Publication Year :,1982
6,Source Citation:,"CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS, 23( ): 0160-01 71, 1982"
7,Publication Type:,reprints (peer-reviewed)
8,Program Report #:,USCSG-R-12-82
9,Abstract:,ANCHOVY;SARDINE​;SPAWNING
