,MetadataField,Metadata
0,NSGL Document #:,CUIMR-R-88-017
1,Sea Grant Program/Affiliate:,California Sea Grant
2,Title:,"Cryopreservatio​n of sperm from the marine shrimp ""Sicyonia ingentis"""
3,Author:,"Anchordoguy, Thomas"
4,,"Crowe, John H."
5,,"Griffin, Fred J."
6,,"Clark, Wallis H. Jr."
7,Publication Year :,1988
8,Source Citation:,"""Cryobiology,"" 25:238-243, 1988."
9,Publication Type:,reprints (peer-reviewed)
10,Abstract:,"It has long been known that the loss of membrane integrity is a critical damaging event incurred by cells during freeze/thaw. In this study, compounds that are known to maintain bilayer integrity and protein function during freeze/thaw (i.e., trehalose, sucrose, proline, glycerol, and DMSO) were used in an effort to cryopreserve shrimp sperm. Using the in-vitro acrosome reaction as a viability assay, the authors were able to assess the effect of different cooling rates and cryoprotectants on sperm survival after storage in liquid nitrogen (-196 deg C)."
